OutputArea,EventCount
E00000007,5
E00000017,4
E00000018,1
E00000021,9
E00000024,3
E00000025,3
E00000026,9
E00000027,4
E00000028,1
E00000029,3
E00000035,17
E00001164,1
E00001167,1
E00001600,1
E00001774,1
E00002388,1
E00004172,1
E00004173,9
E00004174,30
E00004180,1
E00004185,1
E00004189,2
E00004193,24
E00004195,7
E00004197,2
E00004198,1
E00004522,2
E00004524,4
E00004526,2
E00004527,1
E00004530,4
E00004532,1
E00004535,4
E00004536,2
E00004544,2
E00004554,1
E00004557,4
E00004558,2
E00004560,4
E00004569,1
E00004652,2
E00004655,1
E00004658,1
E00004660,1
E00004666,10
E00004669,1
E00004681,4
E00004694,6
E00004699,1
E00004731,21
E00004734,3
E00004740,2
E00004750,1
E00005240,1
E00005797,1
E00006180,2
E00006308,1
E00006348,1
E00006907,1
E00007860,1
E00008134,1
E00008149,2
E00008308,2
E00008450,1
E00008759,1
E00008834,26
E00008857,1
E00009197,5
E00009316,4
E00009345,2
E00009352,2
E00009365,1
E00009372,1
E00009382,1
E00009387,2
E00009462,1
E00009487,3
E00009547,1
E00009635,1
E00009844,1
E00010089,1
E00010222,1
E00010381,1
E00010700,1
E00012415,2
E00012762,1
E00012764,1
E00013425,6
E00013428,25
E00013430,1
E00013434,3
E00013446,2
E00013447,2
E00013455,2
E00013464,2
E00013467,1
E00013484,10
E00013545,4
E00013546,1
E00013547,9
E00013549,4
E00013550,3
E00013551,3
E00013570,2
E00013932,2
E00013964,4
E00013965,1
E00014061,1
E00014079,1
E00014094,1
E00014101,17
E00014189,1
E00014396,1
E00014402,1
E00014585,1
E00014932,2
E00015166,6
E00015180,1
E00015185,1
E00015195,1
E00015201,1
E00015300,1
E00015501,1
E00015505,1
E00015683,6
E00015687,2
E00016235,1
E00017768,3
E00019000,1
E00019147,1
E00019494,2
E00019703,1
E00019777,2
E00019779,1
E00019781,1
E00019783,1
E00019784,3
E00019788,1
E00019801,2
E00019813,1
E00019839,8
E00019842,2
E00020008,4
E00020253,2
E00020255,7
E00020450,1
E00020519,1
E00021238,1
E00021467,11
E00021628,3
E00021630,1
E00021673,2
E00021676,1
E00021681,3
E00021692,3
E00021694,5
E00021723,1
E00021733,4
E00021744,4
E00021761,2
E00022652,1
E00022911,1
E00023248,1
E00023503,1
E00023507,1
E00023525,5
E00023569,3
E00023627,2
E00023636,1
E00023643,1
E00023657,5
E00023676,2
E00023679,2
E00023682,1
E00023815,1
E00023818,2
E00023819,1
E00023820,1
E00023841,2
E00023927,1
E00023930,81
E00023931,1
E00023934,1
E00023935,25
E00023936,2
E00023939,5
E00023941,1
E00023942,1
E00023945,15
E00023957,1
E00023973,1
E00024005,1
E00024048,1
E00024110,1
E00024112,21
E00024113,56
E00024116,1
E00024124,4
E00024129,2
E00024133,2
E00025619,1
E00025664,1
E00025836,1
E00026400,1
E00026645,1
E00026701,2
E00026882,1
E00026944,2
E00027149,1
E00027867,1
E00028390,3
E00029076,2
E00029978,1
E00031232,1
E00031269,1
E00032951,1
E00033023,1
E00033024,3
E00033294,1
E00034200,1
E00034211,8
E00035335,1
E00037175,1
E00037725,1
E00039837,5
E00040903,1
E00040909,5
E00041107,1
E00041850,2
E00042580,4
E00042601,2
E00042609,1
E00042672,1
E00042825,4
E00042912,1
E00043113,1
E00043477,2
E00043660,1
E00043994,1
E00044204,1
E00044422,1
E00044639,3
E00044835,4
E00045589,1
E00045600,1
E00045648,1
E00045988,1
E00046370,3
E00047463,1
E00048329,1
E00048464,1
E00048789,1
E00048809,1
E00048989,1
E00049048,1
E00049371,1
E00050732,1
E00051124,1
E00051618,1
E00051631,1
E00053132,1
E00053983,1
E00054573,1
E00054596,1
E00054956,1
E00055260,1
E00055419,1
E00058086,1
E00058296,1
E00058856,2
E00058859,2
E00058866,6
E00058885,1
E00059184,1
E00059657,1
E00060162,1
E00060177,1
E00061061,1
E00061998,1
E00062347,1
E00062486,10
E00063052,1
E00063148,2
E00063560,1
E00064815,3
E00064850,1
E00064851,1
E00064852,1
E00067375,4
E00067383,1
E00067428,2
E00067441,1
E00067490,6
E00067963,1
E00068038,1
E00068661,4
E00068890,5
E00068992,1
E00070230,1
E00070273,2
E00070505,1
E00070531,4
E00070604,1
E00071044,1
E00071532,1
E00071651,1
E00071662,3
E00072138,1
E00072573,1
E00072668,4
E00072756,1
E00072757,1
E00073417,24
E00073420,9
E00073425,1
E00073431,2
E00073436,1
E00073480,2
E00073486,1
E00073491,1
E00073505,1
E00073647,1
E00073846,1
E00074002,6
E00074009,1
E00074028,1
E00074207,1
E00074875,1
E00075093,1
E00075523,1
E00075692,2
E00075758,1
E00076044,3
E00076251,1
E00076583,1
E00077301,1
E00077483,1
E00077699,1
E00077808,4
E00077937,1
E00078779,1
E00078972,1
E00079018,1
E00079081,1
E00079119,1
E00079760,1
E00079923,1
E00080161,1
E00080382,1
E00081433,1
E00081436,2
E00082141,1
E00082859,1
E00082973,1
E00083780,1
E00083861,1
E00083924,1
E00083928,1
E00084117,5
E00084208,4
E00084661,1
E00084890,3
E00085530,1
E00085565,1
E00085566,1
E00085578,1
E00085586,1
E00085668,1
E00085675,4
E00086047,3
E00086057,5
E00086140,1
E00086186,1
E00086311,1
E00086509,1
E00086513,1
E00086586,1
E00086589,2
E00087023,10
E00087145,2
E00087757,1
E00087859,1
E00088442,1
E00088534,1
E00088781,1
E00089315,1
E00089812,1
E00090568,1
E00090578,3
E00090647,3
E00090667,1
E00090691,1
E00090700,1
E00090701,1
E00090710,10
E00090712,7
E00090715,1
E00090723,4
E00090735,2
E00090741,3
E00090743,2
E00090750,1
E00090761,8
E00090803,1
E00090806,4
E00090830,1
E00091934,1
E00092006,4
E00092086,1
